file,Rinf,R0,Rh,Qh,Ch,Ph,Fh,pRh,pQh,pCh,Rm,Qm,Cm,Pm,Fm,pRm,pQm,pCm,Rl,Ql,Cl,Pl,Fl,pRl,pQl,pCl,Re,Qe,Pef,Pei,Res.1Hz,mismatch,m0,mx,mt,Vp,V(.1ms),V(1ms),V(10),V(100),V(200),V(400),V(800),V(1.2s),V(1.6s),model,comment,Linf,Fhigh,Flow,date/time
bc02118-2025-04-08.z,-785.4833795,2694.355464,2975.411245,1.43E-10,3.77E-11,0.916594,1417294.168,-578.1224171,2.65E-10,6.97E-11,319.6943787,9.31E-05,7.34E-07,0.420578,678.1316275,17191.08014,1.51E-06,1.19E-08,184.7332199,0.00341018,0.002837972,0.715564,0.303575696,36603.13186,1.60E-05,1.33E-05,100000000,0.014027491,0.587523,-0.027149,2734.675575,892.1297678,0.09375354,8.496321804,27.10203371,2997.399001,651.9907957,271.9733414,190.539811,126.9960071,99.53794342,68.1555756,36.17545133,18.97263065,7.900637451,Parallel Circuit,3Zarc,2.19E-05,1000000,0.0631,2025-09-15 10:43
BC24060 - 2023-10-18.z,-55215.24455,461272.64,442518.0602,8.25E-10,5.79E-12,0.614807,62105.34805,-48325.75572,1.08E-09,7.56E-12,0.1,39.89422804,159.1549431,0.5,0.01,1.50E+12,2.66E-12,1.06E-11,73969.7243,1.67E-06,1.28E-07,0.448504,16.76567333,2415207.574,4.31E-08,3.30E-09,100000000,2.95E-05,0.227113,0.048327,493163.6904,455937726.8,0.105189725,3.734955197,13.66470065,513907.7525,116158.6314,51959.78048,29027.73794,11587.68577,8000.366177,5110.076557,2733.267003,1493.26624,648.5978627,Parallel Circuit,D,0.002732732,1000000,0.01585,2025-09-15 10:46
BC24190 - 2023-10-19.z,-47305.75737,428793.9654,313547.9748,3.95E-10,4.63E-12,0.66931,109549.6514,-40168.62092,5.48E-10,6.43E-12,0.241000531,16.87737137,66.03924989,0.507,0.01,2.94E+11,1.38E-11,5.41E-11,162551.5069,3.24E-07,1.36E-08,0.481478,71.78075137,702319.9085,4.66E-08,1.96E-09,100000000,2.64E-05,0.238261,0.019212,466127.8114,72924451.49,0.193167659,3.956896885,15.78737997,466940.4483,163789.8765,85400.93124,38733.48447,12368.34503,8171.714747,5036.70968,2616.383115,1408.502698,605.9696559,Parallel Circuit,D,0.002303589,1000000,0.01585,2025-09-15 10:50
BC25022 - 2023-11-17.z,-48840.26368,158792.5743,168874.8592,7.79E-10,2.81E-12,0.613807,334803.5082,-34715.18096,1.54E-09,5.57E-12,0.1,33.87564444,114.7559286,0.5,0.013868995,1.44E+11,2.35E-11,7.96E-11,38757.87877,2.32E-06,5.01E-08,0.38564,81.94529066,491786.9325,1.38E-07,2.99E-09,100000000,7.79E-05,0.557729,0.019706,173079.4765,16626684.13,0.116759123,4.114079125,14.54613673,175626.3182,44429.03669,19532.00237,10006.73257,4049.11545,2861.789825,1878.805129,1034.636592,574.9697382,252.7210465,Parallel Circuit,D,0.001849281,1000000,0.01585,2025-09-15 11:19
BC25433- 2023-11-24.z,-32946.55424,474540.7857,223034.9895,5.34E-08,4.01E-11,0.381184,17779.64151,-28079.71501,7.35E-08,5.53E-11,1,1.261566261,1.591549431,0.5,0.1,36133803296,3.49E-11,4.40E-11,284451.3505,3.88E-06,4.39E-06,0.445746,0.127390488,317119.9215,1.39E-06,1.58E-06,100000000,0.000221539,0.766708,1.94309,327681.8447,93547901.77,0.469341933,80.85141697,230.4842671,428215.248,232965.1724,199528.3839,177264.9502,129466.4097,107546.9902,81506.5554,50663.81766,29876.3972,13624.74737,Parallel Circuit,D!!!,1.00E-10,1000000,0.01585,2025-09-15 11:35
BC25547 - 2023-12-06.z,-15586.62188,96105.31808,75660.46394,4.02E-10,5.45E-12,0.707496,385862.8787,-12375.66111,6.37E-10,8.65E-12,1,1.261566261,1.591549431,0.5,0.1,3608926573,3.50E-10,4.41E-10,36030.47603,4.23E-06,8.26E-08,0.323523,53.48339901,160239.676,5.94E-07,1.16E-08,100000000,0.000268171,0.496737,2.050535,87613.42501,16211684.88,0.179036594,9.802281409,32.12602317,103548.4032,32985.75148,17842.69788,10616.75292,5027.538312,3720.869056,2552.392463,1464.506096,832.3654252,371.4557674,Parallel Circuit,D,1.00E-10,1000000,0.01585,2025-09-15 11:37
bc25983-2024-02-05.z,-1377.272893,6531.702775,5827.630398,8.81E-11,2.31E-11,0.915493,1180440.224,-1051.775136,1.51E-10,3.97E-11,1280.215261,6.04E-06,1.24E-07,0.555918,1000.803925,19920.94477,3.01E-07,6.20E-09,801.130009,0.000174686,0.000134875,0.883763,1.472943201,46722.00219,2.63E-06,2.03E-06,100000000,0.002401707,0.35454,2.010458,6014.733941,48693.96861,0.149467369,2.278074669,17.1629316,7225.154319,2086.700257,1050.088517,767.3988545,335.3137772,172.4600388,65.96154337,20.85335034,9.101112157,3.488381081,Parallel Circuit,3Zarc,2.91E-05,1000000,0.02512,2025-09-15 12:02
BC27134-2024-05-22.z,-15004.82726,24201.87778,32121.43953,1.66E-10,3.49E-12,0.758622,1420921.22,-7995.650697,5.85E-10,1.23E-11,0.1,1.261566261,0.159154943,0.5,10,2929801272,4.31E-11,5.43E-12,7085.165512,6.74E-05,2.76E-05,0.452401,0.814704284,58468.15824,5.78E-06,2.36E-06,100000000,0.00065496,0.600321,1.999072,20375.13879,710650.5267,0.221999268,22.24321451,69.75364345,25695.35464,8303.784418,5620.404316,4478.809172,2696.245494,2068.433945,1440.888652,824.0012996,464.1006524,205.273726,Parallel Circuit,D,0.000396207,1000000,0.01,2025-09-15 14:39
BC28323_2024-07-31.z,3.128268345,867.7077769,185.0819216,7.32E-05,4.38E-07,0.456656,1962.55122,3.181142568,7.08E-05,4.24E-07,0.1,1.261566261,0.159154943,0.5,10,354418.9664,3.56E-07,4.49E-08,679.3975869,0.003317359,0.004615759,0.710999,0.050751981,240.504558,0.002033731,0.002829724,100000000,0.003793211,0.390065,0.429587,653.6230675,880.5848532,0.685116242,191.3835155,508.6270436,682.2945946,493.510202,466.7991963,454.4883934,399.5338103,357.3594411,291.6766181,193.1726708,116.9428697,53.9492895,Parallel Circuit,D???,1.00E-10,1000000,0.01585,2025-09-15 14:42
